instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C101,30,C,2,0,OPTIMAL,64.2961,2,2,1,1,0,1.0,64.2961,0.0,0.0,90,0.5,2.0,1.0
030_C101,30,C,2,1,OPTIMAL,49.6756,2,1,0,1,1,0.5,41.0452,0.0,8.6304,90,0.5,2.0,1.0
030_C101,30,C,2,2,OPTIMAL,64.7548,2,1,1,0,1,0.5,36.821,0.0,27.9338,90,0.5,2.0,1.0
030_C101,30,C,2,3,OPTIMAL,45.0463,2,1,1,0,1,0.5,37.4056,0.0,7.6407,90,0.5,2.0,1.0
030_C101,30,C,2,4,OPTIMAL,32.0539,2,1,1,0,1,0.5,18.3278,0.0,13.7261,90,0.5,2.0,1.0
030_C101,30,C,2,5,OPTIMAL,10.9306,2,0,0,0,2,0.0,0.0,0.0,10.9306,90,0.5,2.0,1.0
030_C101,30,C,2,6,OPTIMAL,44.3034,2,1,1,0,1,0.5,42.9802,0.0,1.3232,90,0.5,2.0,1.0
030_C101,30,C,2,7,OPTIMAL,6.1548,2,0,0,0,2,0.0,0.0,0.0,6.1548,90,0.5,2.0,1.0
030_C101,30,C,2,8,OPTIMAL,44.3391,2,1,1,0,1,0.5,39.8581,0.0,4.481,90,0.5,2.0,1.0
030_C101,30,C,2,9,OPTIMAL,17.2274,2,0,0,0,2,0.0,0.0,0.0,17.2274,90,0.5,2.0,1.0
030_C101,30,C,4,0,OPTIMAL,47.8116,4,2,2,0,2,0.5,43.6178,0.0,4.1938,90,0.5,2.0,1.0
030_C101,30,C,4,1,OPTIMAL,65.6946,4,2,1,1,2,0.5,60.9253,0.0,4.7694,90,0.5,2.0,1.0
030_C101,30,C,4,2,OPTIMAL,56.8814,4,1,1,0,3,0.25,39.7698,0.0,17.1116,90,0.5,2.0,1.0
030_C101,30,C,4,3,OPTIMAL,7.6028,4,0,0,0,4,0.0,0.0,0.0,7.6028,90,0.5,2.0,1.0
030_C101,30,C,4,4,OPTIMAL,33.7733,4,1,0,1,3,0.25,19.7643,0.0,14.009,90,0.5,2.0,1.0
030_C101,30,C,4,5,OPTIMAL,108.8445,4,3,3,0,1,0.75,95.3251,0.0,13.5194,90,0.5,2.0,1.0
030_C101,30,C,4,6,OPTIMAL,113.3518,4,4,2,2,0,1.0,113.3518,0.0,0.0,90,0.5,2.0,1.0
030_C101,30,C,4,7,OPTIMAL,47.6138,4,1,1,0,3,0.25,19.4912,0.0,28.1226,90,0.5,2.0,1.0
030_C101,30,C,4,8,OPTIMAL,52.3064,4,1,0,1,3,0.25,21.7331,0.0,30.5733,90,0.5,2.0,1.0
030_C101,30,C,4,9,OPTIMAL,31.8081,4,1,0,1,3,0.25,17.9849,0.0,13.8232,90,0.5,2.0,1.0
030_C101,30,C,6,0,OPTIMAL,72.1817,6,3,1,2,3,0.5,49.4502,0.0,22.7315,90,0.5,2.0,1.0
030_C101,30,C,6,1,OPTIMAL,78.8979,6,2,2,0,4,0.3333,53.8745,0.0,25.0233,90,0.5,2.0,1.0
030_C101,30,C,6,2,OPTIMAL,89.0375,6,2,2,0,4,0.3333,74.0613,0.0,14.9762,90,0.5,2.0,1.0
030_C101,30,C,6,3,OPTIMAL,57.3306,6,2,1,1,4,0.3333,54.0781,0.0,3.2525,90,0.5,2.0,1.0
030_C101,30,C,6,4,OPTIMAL,89.8856,6,3,0,3,3,0.5,75.4343,0.0,14.4513,90,0.5,2.0,1.0
030_C101,30,C,6,5,OPTIMAL,143.0965,6,6,2,4,0,1.0,143.0965,0.0,0.0,90,0.5,2.0,1.0
030_C101,30,C,6,6,OPTIMAL,129.9757,6,3,2,1,3,0.5,118.9382,0.0,11.0376,90,0.5,2.0,1.0
030_C101,30,C,6,7,OPTIMAL,83.2828,6,3,2,1,3,0.5,64.1939,0.0,19.0888,90,0.5,2.0,1.0
